,ID,lat_MERIT,lon_MERIT,area_MERIT,Bsn_cnt_lat,Bsn_cnt_lon,river,station,country,lat_SHEDS,lon_SHEDS,area_GRDC,Error,Comment,ups_num_15min,basin_15min,area_CaMa_15min,ups_num_06min,basin_06min,area_CaMa_06min,ups_num_03min,basin_03min,area_CaMa_03min,ups_num_01min,basin_01min,area_CaMa_01min
19,1160235,-31.858,18.692,23967.2,-32.365,19.714000000000002,DORING,MELKBOOM,ZA,-31.863000000000003,18.686,24044.0,0.0,,0.0,316,23984.662109375,0.0,316,23983.3125,0.0,316,23955.46875,0.0,316,23959.74609375
20,1160350,-33.575,20.708000000000002,2893.4,-33.439,20.182000000000002,TOUWSRIVIER,ZANDFONTEIN,ZA,-33.573,20.701999999999998,2904.3,0.0,,1.0,332,2693.71630859375,0.0,332,2903.00048828125,0.0,332,2894.186279296875,0.0,332,2894.18896484375
21,1160378,-33.308,21.642,17030.2,-32.73,21.899,GAMKA RIVER,SPEK BOOM BERG,ZA,-33.31,21.634,17076.0,0.0,,0.0,332,17781.328125,0.0,332,17077.0234375,0.0,332,17077.166015625,0.0,332,17059.80859375
22,1160380,-33.475,23.025,4294.0,-33.279,23.006,OLIFANTSRIVIER,PARDEKLOOF (27693304),ZA,-33.477,23.029,4230.0,0.02,,0.0,332,4306.8505859375,0.0,332,4308.8251953125,0.0,332,4308.81591796875,0.0,332,4293.8125
23,1160460,-33.725,24.625,29473.6,-32.558,23.541,GROOTRIVIER (ZA-EASTERN CAPE),GROOTRIVIERSPOORT (27691206),ZA,-33.731,24.618000000000002,29571.0,0.0,,1.0,407,28944.416015625,1.0,407,29443.06640625,1.0,407,29442.7890625,0.0,407,29457.712890625
24,1160481,-32.075,23.008000000000003,3670.7,-31.843000000000004,22.840999999999998,SOUTRIVIER (ZA-WESTERN CAPE),KLIPKRAAL (27691902),ZA,-32.069,23.008000000000003,3672.0,0.0,,0.0,407,3949.037353515625,0.0,407,3696.075927734375,0.0,407,3697.218994140625,0.0,407,3676.339599609375
25,1160511,-31.908,25.475,9095.3,-31.605,25.322,GROOT-VIS,KATKOP (27673901),ZA,-31.903000000000002,25.482,9545.0,-0.05,,0.0,459,9131.8271484375,0.0,459,9207.94921875,0.0,459,9129.001953125,0.0,459,9097.4326171875
26,1160535,-31.975,26.008000000000003,1294.3,-31.705,25.976999999999997,VLEKPOORTRIVIER,ROBERTS KRAAL (27673603),ZA,-31.968000000000004,26.000999999999998,1308.0,-0.01,,0.0,459,1545.451171875,0.0,459,1333.945556640625,0.0,459,1335.58154296875,0.0,459,1311.879150390625
27,1160580,-33.242,26.991999999999997,29696.0,-32.236,25.820999999999998,GROOT-VIS,MATOLEMA'S LOCATION OUTSPAN,ZA,-33.235,26.99,29606.0,0.0,,0.0,459,29704.134765625,0.0,459,29701.3203125,0.0,459,29701.4453125,0.0,459,29702.056640625
28,1160600,-33.192,27.392,2520.2,-32.865,27.07,KEISKAMMA,FARM 7,ZA,-33.185,27.394000000000002,2541.8,-0.01,,0.0,3459,2691.64697265625,0.0,3460,2545.62353515625,0.0,3459,2523.466796875,0.0,3459,2520.767578125
29,1160684,-32.508,28.025,18792.0,-31.978,27.182,GREAT KEI RIVER,AREA 8 SPRINGS B,ZA,-32.516,28.018,19000.0,-0.01,GRDC Area Unit Error,0.0,655,18925.826171875,0.0,655,18797.27734375,0.0,655,18802.103515625,0.0,655,18799.439453125
30,1160690,-32.058,26.791999999999998,1419.6,-32.092,26.522,SWART-KEIRIVIER,CATHCARTS GIFT (27711504),ZA,-32.05,26.79,1414.0,0.0,,1.0,655,1384.029052734375,0.0,655,1418.1634521484375,0.0,655,1408.625244140625,0.0,655,1418.16943359375
31,1160700,-29.741999999999997,29.908,1815.2,-29.58,29.622,MKOMAZI,LOT93.1821 CAMDEN (27662505),ZA,-29.748,29.901999999999997,1854.7,-0.02,,0.0,2388,1816.489501953125,0.0,2388,1816.8592529296875,0.0,2388,1821.9134521484375,0.0,2388,1817.8953857421875
32,1160701,-30.175,30.708000000000002,4347.0,-29.799,29.916,MKOMAZI,DELOS ESTATE (27662506),ZA,-30.169,30.697,4358.0,0.0,,0.0,2388,4390.33837890625,0.0,2388,4390.2099609375,0.0,2388,4369.25634765625,0.0,2388,4350.97412109375
33,1160740,-31.925,28.458000000000002,4939.2,-31.663,28.096999999999998,MBASHE,BASHEE BRIDGE (27663804),ZA,-31.92,28.448,4942.0,0.0,,0.0,1828,4979.6318359375,1.0,1828,4917.3525390625,0.0,1828,4944.08056640625,0.0,1828,4946.16796875
34,1160750,-29.075,30.241999999999997,1547.6,-29.259,29.910999999999998,MOOIRIVIER (TRIB. TUGELA),DOORNKLOOF,ZA,-29.073,30.248,1520.9,0.02,,0.0,479,1540.50927734375,0.0,479,1603.212646484375,0.0,479,1543.839111328125,0.0,479,1540.20703125
35,1160760,-31.592,28.791999999999998,1205.2,-31.521,28.607,MTATA,NORWOOD (27663602),ZA,-31.584,28.784000000000002,1213.0,-0.01,,0.0,3557,1236.812255859375,1.0,3558,1209.7369384765625,0.0,3558,1234.806640625,0.0,3558,1235.719482421875
36,1160770,-31.041999999999998,28.892,2565.2,-30.739,28.503,TINARIVIER,MAHLUNGULU (27663505),ZA,-31.031999999999996,28.884,2573.0,0.0,,1.0,674,2302.590576171875,0.0,672,2674.89990234375,0.0,672,2579.933349609375,0.0,672,2576.1201171875
37,1160785,-30.558000000000003,29.425,1018.5,-30.393,29.451,MZINTLAVA,SLANG FONTEIN (27663504),ZA,-30.568,29.421999999999997,1034.0,-0.02,,1.0,674,836.3970336914062,0.0,672,1027.78076171875,0.0,672,1027.7781982421875,0.0,672,1027.7774658203125
38,1160788,-29.708000000000002,30.875,4072.5,-29.509,30.365,MGENI,INANDA MISSION RES,ZA,-29.715,30.869,4084.0,0.0,,0.0,2360,4141.97900390625,0.0,2360,4073.3271484375,0.0,2360,4084.33203125,0.0,2360,4076.259033203125
39,1160850,-28.058000000000003,30.375,5910.7,-27.741,30.051,BUFFELSRIVIER,TAYSIDE,ZA,-28.055999999999997,30.377,5985.4,-0.01,,1.0,479,5913.90673828125,0.0,479,5928.74658203125,0.0,479,5928.8896484375,0.0,479,5919.7255859375
40,1160884,-28.741999999999997,29.342,1708.6,-28.801,29.145,TUGELA,BERGVILLE (27661702),ZA,-28.738000000000003,29.351999999999997,1666.0,0.03,,0.0,479,1910.3604736328125,1.0,479,1688.2510986328125,0.0,479,1710.539794921875,0.0,479,1707.5416259765625
41,1160930,-27.658,32.425,5112.2,-27.676,31.836,MKUZE,MORRISVALE (27650111),ZA,-27.66,32.423,5068.0,0.01,,0.0,1318,5256.1357421875,0.0,1318,5127.02294921875,0.0,1318,5152.7373046875,0.0,1318,5127.3037109375
42,1196100,-24.325,30.741999999999997,42479.1,-25.189,29.454,ELEFANTES / OLIFANTSRIVIER,FINALE (27521009),ZA,-24.331,30.741,42714.0,-0.01,,0.0,43,42494.24609375,0.0,43,42518.92578125,0.0,43,42518.875,0.0,43,42478.015625
43,1196350,-25.775,27.758000000000003,1072.5,-25.943,27.596999999999998,MAGALIES,SCHEERPOORT,ZA,-25.776999999999997,27.765,1073.4,0.0,,1.0,43,886.81201171875,0.0,43,1128.0401611328125,0.0,43,1095.3297119140625,0.0,43,1063.833740234375
44,1196600,-26.008000000000003,29.258000000000003,3216.4,-26.259,29.343000000000004,OLIFANTS,WOLWEKRANS,ZA,-26.015,29.256,3225.1,0.0,,0.0,43,3255.756591796875,0.0,43,3257.123779296875,0.0,43,3254.661865234375,0.0,43,3216.189453125
45,1197300,-26.025,30.975,5490.8,-25.991,30.342,INCOMATI,HOOGGENOEG (27613101),ZA,-26.026999999999997,30.973000000000003,5503.2,0.0,,0.0,334,5529.32373046875,0.0,334,5501.67236328125,0.0,334,5501.68896484375,0.0,334,5493.9970703125
46,1234050,14.607999999999999,0.275,7610.7,14.248,-0.18,GAROUOL,DOLBEL,NE,14.606,0.281,7611.9,0.0,,1.0,10,7278.2060546875,1.0,10,7571.4404296875,0.0,10,7634.3173828125,0.0,10,7604.57275390625
